raw_symbol,canonical_symbol,effective_from,effective_to
AAPL,AAPL,2023-01-01T00:00:00,
MSFT,MSFT,2023-01-01T00:00:00,
NVDA,NVDA,2023-01-01T00:00:00,
AVGO,AVGO,2023-01-01T00:00:00,
GOOGL,GOOGL,2023-01-01T00:00:00,
META,META,2023-01-01T00:00:00,
AMZN,AMZN,2023-01-01T00:00:00,
HD,HD,2023-01-01T00:00:00,
JPM,JPM,2023-01-01T00:00:00,
BAC,BAC,2023-01-01T00:00:00,
JNJ,JNJ,2023-01-01T00:00:00,
UNH,UNH,2023-01-01T00:00:00,
XOM,XOM,2023-01-01T00:00:00,
CVX,CVX,2023-01-01T00:00:00,
PG,PG,2023-01-01T00:00:00,
WMT,WMT,2023-01-01T00:00:00,
