raw_symbol,canonical_symbol,effective_from,effective_to
AAPL,AAPL,2022-01-01T00:00:00,
MSFT,MSFT,2022-01-01T00:00:00,
NVDA,NVDA,2022-01-01T00:00:00,
AVGO,AVGO,2022-01-01T00:00:00,
ORCL,ORCL,2022-01-01T00:00:00,
GOOGL,GOOGL,2022-01-01T00:00:00,
META,META,2022-01-01T00:00:00,
AMZN,AMZN,2022-01-01T00:00:00,
HD,HD,2022-01-01T00:00:00,
MCD,MCD,2022-01-01T00:00:00,
JPM,JPM,2022-01-01T00:00:00,
BAC,BAC,2022-01-01T00:00:00,
WFC,WFC,2022-01-01T00:00:00,
JNJ,JNJ,2022-01-01T00:00:00,
UNH,UNH,2022-01-01T00:00:00,
PFE,PFE,2022-01-01T00:00:00,
XOM,XOM,2022-01-01T00:00:00,
CVX,CVX,2022-01-01T00:00:00,
PG,PG,2022-01-01T00:00:00,
KO,KO,2022-01-01T00:00:00,
WMT,WMT,2022-01-01T00:00:00,
CAT,CAT,2022-01-01T00:00:00,
RTX,RTX,2022-01-01T00:00:00,
LLY,LLY,2024-01-01T00:00:00,
