date,symbol,open,high,low,close,volume,adv,daily_volatility
2025-01-02,AAPL,247.809,247.978,240.733,242.752,55992832.0,13592371953.664001,0.02
2025-01-02,AMZN,222.03,225.15,218.19,220.22,33956579.0,7477917827.38,0.02
2025-01-02,GOOGL,190.65,192.0,187.5,189.43,20370828.0,3858845948.04,0.02
2025-01-02,HD,392.195,392.67,386.38,388.46,2418343.0,939429521.78,0.02
2025-01-02,JNJ,145.21,145.77,143.78,144.02,6051330.0,871512546.6,0.02
2025-01-02,JPM,240.96,243.276,239.45,240.0,9220914.0,2213019360.0,0.02
2025-01-02,META,589.72,604.91,587.82,599.24,12682269.0,7599722875.56,0.02
2025-01-02,MSFT,425.53,426.07,414.85,418.58,16896469.0,7072523994.0199995,0.02
2025-01-02,NVDA,136.0,138.88,134.63,138.31,198247166.0,27419565529.46,0.02
2025-01-02,PG,168.085,168.7052,165.91,165.98,5401712.0,896576157.76,0.02
2025-01-02,UNH,502.52,506.337,497.616,498.822,4285712.0,2137807431.264,0.02
2025-01-02,XOM,108.275,109.0,106.88,107.31,12685447.0,1361275317.57,0.02
2025-01-03,AAPL,242.265,243.081,240.801,242.265,40426127.0,11693103805.6595,0.02
2025-01-03,AMZN,222.505,225.36,221.62,224.19,27515606.0,6823320768.26,0.02
2025-01-03,GOOGL,191.37,193.21,189.975,191.79,18596159.0,3712701641.325,0.02
2025-01-03,HD,390.49,391.01,385.81,389.18,2232389.0,904115336.4,0.02
2025-01-03,JNJ,144.07,144.575,143.62,144.19,5879816.0,859661607.8199999,0.02
2025-01-03,JPM,243.88,244.88,240.26,243.28,9491053.0,2261001366.92,0.02
2025-01-03,META,604.76,609.5,596.4136,604.63,11436784.0,7257372792.74,0.02
2025-01-03,MSFT,421.08,424.03,419.54,423.35,16662943.0,7063390456.535,0.02
2025-01-03,NVDA,140.01,144.9,139.73,144.47,229322478.0,30274891963.059998,0.02
2025-01-03,PG,166.25,166.5,164.25,165.13,5256807.0,882316348.835,0.02
2025-01-03,UNH,499.682,510.469,499.682,507.216,3054869.0,1843642932.984,0.02
2025-01-03,XOM,108.0,108.49,107.46,107.86,14237885.0,1448486796.835,0.02
2025-01-06,AAPL,243.21,246.215,242.105,243.897,45249300.0,11474125377.806334,0.0061819430175505735
2025-01-06,AMZN,226.78,228.835,224.84,227.61,31849831.0,6965327190.143333,0.0019604602079691283
2025-01-06,GOOGL,193.98,198.222,193.85,196.87,29563638.0,4415198898.57,0.009919913285955892
2025-01-06,HD,390.0,393.99,388.03,389.37,3274669.0,1027762847.11,0.0009653893526517185
2025-01-06,JNJ,143.755,144.815,142.93,143.66,7910493.0,951914880.0066667,0.0034337793156658525
2025-01-06,JPM,243.695,245.69,240.58,240.85,9917836.0,2303571178.146667,0.016726722133151906
2025-01-06,META,611.825,630.99,605.62,630.2,14560754.0,7896977585.426667,0.02354354430432331
2025-01-06,MSFT,428.0,434.32,425.4774,427.85,20573648.0,7643072069.956668,0.0005417628025296944
2025-01-06,NVDA,148.59,152.156,147.82,149.43,265377359.0,33401707560.49667,0.00721619830158852
2025-01-06,PG,162.81,163.5,160.44,160.6,8731671.0,1055646353.4233333,0.015776848204314735
2025-01-06,UNH,507.216,514.434,504.075,507.879,4495518.0,1990155017.43,0.01097465823067102
2025-01-06,XOM,108.24,109.78,107.52,107.74,15623677.0,1526756184.55,0.004410855108569434
2025-01-07,AAPL,241.886,244.444,240.263,241.119,41040741.0,11079519640.6495,0.0090651300406165
2025-01-07,AMZN,227.9,228.381,221.46,222.11,28084164.0,6783438809.1175,0.023599708057671497
2025-01-07,GOOGL,197.11,201.0,194.6,195.49,26487244.0,4605897006.3175,0.016821944115831208
2025-01-07,HD,390.6,391.9,383.1,384.23,2274312.0,989286860.2725,0.00832550928170627
2025-01-07,JNJ,143.755,147.18,143.59,146.23,8422010.0,1021823790.5799999,0.011312464448302776
2025-01-07,JPM,242.0,245.26,240.9,243.17,8753357.0,2259816839.0325,0.012654550184846949
2025-01-07,META,631.7,632.1011,608.23,617.89,12071479.0,7787444728.897501,0.030942524186574036
2025-01-07,MSFT,429.0,430.65,420.8,422.37,18139065.0,7647653273.4800005,0.01375828774756502
2025-01-07,NVDA,153.03,153.13,140.01,140.14,351782174.0,37375969136.4625,0.05888294191244214
2025-01-07,PG,161.46,162.61,160.74,161.3,8447744.0,1132390041.8675,0.016321706390970015
2025-01-07,UNH,513.0,513.643,505.457,508.453,3959181.0,1995880627.32075,0.009012284805306303
2025-01-07,XOM,108.94,110.06,108.28,108.75,12625890.0,1488333522.7875,0.005274823714479914
2025-01-08,AAPL,240.831,242.615,238.969,241.608,37799126.0,10690129959.4412,0.007700370829818993
2025-01-08,AMZN,223.185,223.52,220.2,222.13,25033292.0,6538880077.686,0.019325427691751523
2025-01-08,GOOGL,192.57,196.29,192.38,193.95,24864766.0,4649221878.194,0.016565841488664173
2025-01-08,HD,384.0,387.69,380.1,387.2,2848462.0,1012014385.4979999,0.008855051782062752
2025-01-08,JNJ,145.38,145.59,141.44,142.27,11175552.0,1135448189.072,0.01856658142176835
2025-01-08,JPM,242.75,244.25,240.5,243.13,8675284.0,2229697831.0099998,0.010585445412332918
2025-01-08,META,613.395,616.4397,602.79,610.72,10085846.0,7461881356.941999,0.02759290730029273
2025-01-08,MSFT,423.46,426.97,421.54,424.56,15054575.0,7396436691.184,0.011283153028825215
2025-01-08,NVDA,142.58,143.95,137.56,140.11,227349948.0,36271575552.026,0.04816452940010943
2025-01-08,PG,160.99,162.4,160.565,162.1,4974783.0,1067194498.3540001,0.015137302575988736
2025-01-08,UNH,508.695,518.754,503.768,518.607,4188954.0,2031188675.2722,0.010001974565216658
2025-01-08,XOM,107.31,107.71,106.01,106.93,17858110.0,1572580358.69,0.011440643970603133
2025-01-10,AAPL,238.929,239.078,231.95,235.783,61989958.0,11344471344.053333,0.012240294380927297
2025-01-10,AMZN,221.46,221.71,216.5,218.94,36811525.0,6792319278.655,0.018320354222114157
2025-01-10,GOOGL,194.295,196.52,190.31,192.04,26665206.0,4727815925.201667,0.016004502036288226
2025-01-10,HD,390.0,392.91,384.615,389.89,5323431.0,1189270740.0133333,0.008411806482966896
2025-01-10,JNJ,141.0,143.67,140.68,142.06,8821541.0,1155071509.97,0.016092121801206106
2025-01-10,JPM,243.44,243.81,238.74,239.87,10256829.0,2268132454.5466666,0.01182300720272861
2025-01-10,META,610.03,629.91,597.34,615.86,19256564.0,8194792381.625,0.023943902664896696
2025-01-10,MSFT,424.63,424.71,415.02,418.95,20201132.0,7574241284.553333,0.012329859818122105
2025-01-10,NVDA,137.45,139.92,134.22,135.91,207602514.0,34928855906.31167,0.04441172911158758
2025-01-10,PG,160.3,161.21,157.47,158.56,8501525.0,1113995715.9616668,0.014941289111252556
2025-01-10,UNH,520.703,529.413,512.625,514.819,5529876.0,2167138101.4675,0.011558577515816348
2025-01-10,XOM,108.7,110.1,105.78,106.54,19304499.0,1653267186.1516666,0.0099872732510303
2025-01-13,AAPL,232.479,233.614,228.685,233.345,49855192.0,11385755405.937143,0.01110738310638604
2025-01-13,AMZN,218.06,219.4,216.47,218.46,27262655.0,6672816469.032858,0.016393086395163865
2025-01-13,GOOGL,190.07,191.18,187.36,191.01,21823699.0,4647920042.457143,0.014701603598685664
2025-01-13,HD,389.99,395.86,387.7,389.18,3512936.0,1214684124.6514285,0.007597378512543351
2025-01-13,JNJ,142.875,145.07,142.31,144.47,10376377.0,1204214892.1442857,0.016467340372274968
2025-01-13,JPM,239.67,244.54,239.0,244.21,10005315.0,2293170386.2042856,0.012911383031673235
2025-01-13,META,607.1,608.97,598.445,608.33,10785031.0,7961373171.14,0.02263374580041417
2025-01-13,MSFT,415.235,418.5,412.29,417.19,17604780.0,7541426553.645715,0.011176043048217925
2025-01-13,NVDA,129.99,133.49,129.51,133.23,204808914.0,33837118150.012856,0.040326252143898934
2025-01-13,PG,159.35,160.09,158.41,158.84,6772198.0,1108524318.0128572,0.014069978154493646
2025-01-13,UNH,529.013,541.229,527.129,535.039,6546269.0,2357905404.0422854,0.016946072130560996
2025-01-13,XOM,107.125,109.63,107.125,109.29,17073395.0,1683650636.637143,0.014254937796590993
2025-01-14,AAPL,233.693,235.057,231.426,232.23,39613650.0,11112470722.6325,0.010160794919413746
2025-01-14,AMZN,220.44,221.82,216.2,217.76,24711650.0,6511365523.40375,0.014983474089490412
2025-01-14,GOOGL,191.24,191.98,188.308,189.66,17174854.0,4474102888.355,0.0138035666136648
2025-01-14,HD,390.67,394.2,389.63,392.78,3405174.0,1230034139.5349998,0.007711040220478974
2025-01-14,JNJ,144.605,144.81,142.86,144.75,8681741.0,1210773281.845,0.015040639176657511
2025-01-14,JPM,242.66,247.72,242.19,247.47,12407386.0,2390331064.60625,0.01242191776538334
2025-01-14,META,605.065,605.49,588.55,594.25,13597992.0,7976277367.9975,0.022858259173875024
2025-01-14,MSFT,417.81,419.74,410.72,415.67,16935856.0,7478714142.38,0.010271139408177673
2025-01-14,NVDA,136.05,136.38,130.05,131.76,195590485.0,32828853669.21125,0.036871284060793444
2025-01-14,PG,158.85,160.07,158.31,159.74,5982254.0,1089409435.00625,0.013736249269688855
2025-01-14,UNH,533.561,538.411,530.501,537.61,4023621.0,2333559589.26325,0.01569820210277909
2025-01-14,XOM,108.79,109.76,107.83,109.72,11191175.0,1626681272.1825001,0.013016417218759948
2025-01-15,AAPL,233.579,237.884,233.375,236.799,40012118.0,10930510590.14911,0.013137882530619852
2025-01-15,AMZN,222.83,223.57,220.75,223.35,31291257.0,6564425159.797778,0.016874820457771063
2025-01-15,GOOGL,193.09,196.36,191.86,195.55,21775969.0,4450123760.532223,0.01679015548725186
2025-01-15,HD,406.65,408.0,401.76,406.09,4584769.0,1300233551.0544443,0.01346161258339391
2025-01-15,JNJ,145.335,146.05,144.26,144.97,7434562.0,1195997189.7666667,0.01392712410367872
2025-01-15,JPM,250.4,253.6699,243.68,252.35,18448520.0,2642014726.538889,0.012703902988402543
2025-01-15,META,610.21,622.46,606.5,617.12,15524302.0,8154508466.024445,0.025347087215187764
2025-01-15,MSFT,419.13,428.15,418.265,426.31,19637838.0,7577946650.757778,0.013361347755528812
2025-01-15,NVDA,133.65,136.45,131.29,136.24,185217338.0,31984982164.756668,0.036993340344033315
2025-01-15,PG,160.59,161.15,159.335,159.65,8059231.0,1111325745.4666667,0.012830684383693388
2025-01-15,UNH,531.039,540.131,528.306,537.293,4150660.0,2322066364.165111,0.015086829915854503
