date,symbol,open,high,low,close,volume,adv,daily_volatility
2024-01-02,AAPL,185.397,186.678,182.165,183.903,83267691.0,15313178177.973,0.02
2024-01-02,AMZN,151.54,152.38,148.39,149.93,47339424.0,7097599840.320001,0.02
2024-01-02,GOOGL,138.05,138.946,135.987,137.671,23797175.0,3276180879.4249997,0.02
2024-01-02,HD,344.21,347.3013,343.22,345.08,2833794.0,977885633.52,0.02
2024-01-02,JNJ,156.93,161.6393,156.79,159.97,9622108.0,1539248616.76,0.02
2024-01-02,JPM,169.09,172.17,168.91,172.08,9977424.0,1716915121.92,0.02
2024-01-02,META,351.32,353.16,340.01,346.29,19042152.0,6594106816.08,0.02
2024-01-02,MSFT,371.085,373.109,364.049,368.116,25447513.79121,9367636986.76506,0.02
2024-01-02,NVDA,49.2301,49.2811,47.5815,48.1543,411370819.0,19809273829.3717,0.02
2024-01-02,PG,146.36,149.41,146.31,148.74,7238388.0,1076637831.1200001,0.02
2024-01-02,UNH,512.87,525.351,512.704,525.039,3508694.0,1842201189.066,0.02
2024-01-02,XOM,100.92,103.1,100.85,102.36,23483049.0,2403724895.64,0.02
2024-01-03,AAPL,182.497,184.141,181.714,182.527,58966121.0,13038043672.869999,0.02
2024-01-03,AMZN,149.2,151.05,148.33,148.47,49425495.0,7217901541.485001,0.02
2024-01-03,GOOGL,136.754,139.126,136.585,138.418,24299918.0,3319863464.5745,0.02
2024-01-03,HD,342.48,342.7,336.59,338.26,3309589.0,1048693604.3299999,0.02
2024-01-03,JNJ,160.64,161.44,159.8,160.97,8231987.0,1432175782.075,0.02
2024-01-03,JPM,171.86,172.04,170.37,171.33,9852335.0,1702457838.7350001,0.02
2024-01-03,META,344.98,347.95,343.175,344.47,15451133.0,5958279300.295,0.02
2024-01-03,MSFT,366.272,370.485,365.775,367.85,23256080.166192,8961193037.949394,0.02
2024-01-03,NVDA,47.4715,48.1704,47.3066,47.5555,320987151.0,17536989144.3761,0.02
2024-01-03,PG,148.34,149.2,147.175,147.84,7697534.0,1107320628.8400002,0.02
2024-01-03,UNH,528.641,532.291,525.176,527.657,2970258.0,1704739307.286,0.02
2024-01-03,XOM,102.27,103.62,101.66,103.22,23490779.0,2414221552.01,0.02
2024-01-04,AAPL,180.447,181.375,179.186,180.207,72663377.0,13056845508.259666,0.003696926096122471
2024-01-04,AMZN,145.59,147.38,144.05,144.57,56039807.0,7512492660.32,0.011688514153232717
2024-01-04,GOOGL,137.92,138.657,135.858,135.897,27236112.0,3447010947.204333,0.016715246649714115
2024-01-04,HD,339.93,342.9217,338.54,338.59,3652356.0,1111346142.2333333,0.014664768150762252
2024-01-04,JNJ,161.59,161.98,160.42,160.63,6766641.0,1317092369.3266666,0.005913793458213003
2024-01-04,JPM,170.64,173.35,170.54,171.41,11972545.0,1819043205.3066666,0.0034120540338524884
2024-01-04,META,344.5,348.1499,343.3987,347.12,12099895.0,5372224717.663333,0.009156105197928274
2024-01-04,MSFT,367.915,370.33,364.445,365.209,21057800.729042,8537628140.783829,0.004565759192948882
2024-01-04,NVDA,47.7535,48.4863,47.4945,47.9844,306621799.0,16595680446.895935,0.015170242254373549
2024-01-04,PG,148.05,149.2669,147.77,148.65,7067618.0,1088414224.46,0.008152745354031415
2024-01-04,UNH,530.55,534.443,528.602,530.957,3075937.0,1680889632.0936668,0.0008964463002484607
2024-01-04,XOM,104.08,104.57,102.05,102.32,19395154.0,2270985087.1,0.012106346830810548
2024-01-05,AAPL,180.287,181.049,178.483,179.485,62968769.0,12618121507.185999,0.004381279878489692
2024-01-05,AMZN,144.69,146.59,144.53,145.24,45153147.0,7273880262.81,0.015463733232187969
2024-01-05,GOOGL,136.251,136.66,134.662,135.239,22595468.0,3349205334.61625,0.011853362594922055
2024-01-05,HD,337.87,343.8299,337.82,342.94,2664279.0,1061931566.74,0.016505168832402432
2024-01-05,JNJ,160.5,161.34,159.47,161.13,5602564.0,1213504561.325,0.004224839659973436
2024-01-05,JPM,171.47,173.38,171.47,172.27,10066029.0,1797801107.9375,0.004688496673699188
2024-01-05,META,346.99,353.5,346.2601,351.95,13750912.0,5239076907.8475,0.009779848805574006
2024-01-05,MSFT,366.232,369.298,363.78,365.02,21161644.495607,8334326974.034489,0.0037885181351047124
2024-01-05,NVDA,48.4483,49.533,48.2923,49.0831,415156942.0,17541057760.142,0.017800878797835085
2024-01-05,PG,148.72,148.87,146.55,147.42,5294358.0,1011434232.435,0.007382797444616119
2024-01-05,UNH,532.495,532.495,519.572,523.131,2892230.0,1638921017.1027498,0.011771701271163405
2024-01-05,XOM,103.17,103.3987,102.125,102.63,15827392.0,2109330125.565,0.008756174948037754
2024-01-08,AAPL,180.382,183.863,179.803,183.824,59703025.0,12289466979.268799,0.016512702223980644
2024-01-08,AMZN,146.74,149.4,146.15,149.1,46757053.0,7213399530.708,0.022411918830686453
